ID;SchoolCode;SchoolName
26070;E00606;SO IL UNIV-SCHL OF DENTAL MEDICINE
26071;E00611;MIAMI DADE COLLEGE - HOMESTEAD CAMPUS
26072;E00614;LINFIELD COLLEGE - PORTLAND CAMPUS
26073;E00616;CARLOS ALBIZU UNIVERSITY
26074;E00636;NATIONAL AMERICAN UNIVERSITY
26075;E00637;NATIONAL AMERICAN UNIVERSITY - COLORADO
26076;E00639;NATIONAL AMERICAN UNIVERSITY
26077;E00640;NATIONAL AMERICAN UNIVERSITY
26078;E00641;NATIONAL AMERICAN UNIVERSITY - SIOUX FAL
26079;E00646;ECPI UNIVERSITY - CHARLOTTE
26080;E00647;ECPI UNIVERSITY - GREENSBORO
26081;E00648;ECPI UNIVERSITY - NEWPORT NEWS
26082;E00650;U OF MD UNIVERSITY COLLEGE - EUROPE
26083;E00651;U OF MD UNIVERSITY COLLEGE - ASIA
26084;E00656;WIDENER UNIV SCH OF LAW- HARRISBURG
26085;E00662;EVEREST UNIVERSITY - BRANDON
26086;E00664;INTERNATIONAL BUSINESS COLLEGE
26087;E00670;THOMPSON INSTITUTE-PHILADEPHIA CAMPUS
26088;E00673;REMINGTON COLLEGE - FT. WORTH CAMPUS
26089;E00680;CASE WESTERN RESERVE UNIV -ENG GRAD
26090;E00681;CASE WESTERN RESERVE UNIV -A&S GRAD
26091;E00686;OHIO BUSINESS COLLEGE
26092;E00687;DAYMAR COLLEGE - JACKSON
26093;E00688;DAYMAR COLLEGE - LANCASTER
26094;E00693;BUSINESS INSTITUTE OF PENNSYLVANIA
26095;E00698;VATTEROTT COLLEGE - KANSAS CITY
26096;E00699;VATTEROTT COLLEGE - JOPLIN
26097;E00700;VATTEROTT COLLEGE - SPRINGFIELD LOCATION
26098;E00701;MARICOPA SKILL CENTER
26099;E00703;WEST VIRGINIA CAREER INSTITUTE
26100;E00710;INTERACTIVE LEARNING SYSTEMS
26101;E00711;INTERACTIVE LEARNING SYSTEMS
26102;E00722;GORDON-CONWELL THEO SEM - CHARLOTTE
26103;E00724;CONNECTICUT CENTER FOR MASSAGE THERAPY -
26104;E00727;INSTITUTE FOR BUSINESS & TECHNOLOGY - NA
26105;E00728;VIRGINIA COLLEGE - GOLF ACADEMY OF AMERI
26106;E00729;LINCOLN TECHNICAL INSTITUTE - MAHWAH
26107;E00733;BAKER COLLEGE OF JACKSON
26108;E00750;UNIVERSITY OF PITTSBURGH - SCHOOL OF DEN
26109;E00760;ANTHEM INSTITUTE
26110;E00768;REMINGTON COLLEGE - MEMPHIS
26111;E00773;CHICAGO KENT COLLEGE OF LAW
26112;E00776;COLORADO TECHNICAL UNIVERSITY
26113;E00777;HARRISON COLLEGE - EAST
26114;E00778;HARRISON COLLEGE - EVANSVILLE
26115;E00780;FORTIS INSTITUTE - FORTIS COLLEGE
26116;E00784;EDUCATORS OF BEAUTY
26117;E00786;ITT TECHNICAL INSTITUTE
26118;E00793;NATIONAL-LOUIS UNIVERSITY
26119;E00797;OFFICIAL USE ONLY
26120;E00799;THOMAS JEFFERSON UNIVERSITY - COLLEGE OF
26121;E00808;VIRGINIA COLLEGE - GOLF ACADEMY OF AMERI
26122;E00811;BAKER COLLEGE - GRADUATE ON-LINE
26123;E00816;VATTEROTT COLLEGE - SUNSET HILLS
26124;E00819;SOUTHERN CAREERS INSTITUTE-PHARR
26125;E00820;SOUTHERN CAREERS INSTITUTE - CORPUS CHRI
26126;E00821;SOUTHERN CAREERS INSTITUTE - SAN ANTONIO
26127;E00830;FLORIDA ATLANTIC UNIV-JUPITER/PSL
26128;E00831;CHEEKS INTERNATIONAL ACADEMY OF BEAUTY C
26129;E00834;FLORIDA NATIONAL UNIVERSITY - SOUTH CAMP
